,mgrno,mgrname,zipcode
624,8268,BENCHMARK CAP MGMT CO II LLC,
625,8269,BENCHMARK CAP MGMT CO LLC,
626,8270,BENCHMARK ASSET MGMT INC,
627,8275,BENDER ROBERT & ASSOCIATES,
628,8280,BENEFIT CAPITAL MGMT COR,
629,8283,BENHAM & GREEN CAP MGMT LLC,
630,8285,BENHAM MGMT CORP,
631,8286,BENNICAS & ASSOCIATES,
632,8287,BENSON ASSOCIATES LLC,
633,8288,BENTLEY CAPITAL MGMT IN,
634,8289,AFT FORSYTH & BENT LLC,
635,8290,BERG GILCHRIST B,
636,8300,BERGER ASSOCIATES INC,
637,8320,W R BERKLEY CORP,
638,8325,BERING CORP,
639,8340,BERKSHIRE CAPITAL HLDGS INC,
640,8350,BERKSHIRE HATHAWAY,
641,8500,BERMAN M A CO,
642,8580,BERNHARD ARNOLD & CO INC,
643,8650,BERNSTEIN SANFORD C & CO,
644,8700,BERRY HARTELL EVERS & OSBORN,
645,8710,BERNSTEIN MACAULAY INC,
646,8730,BERRY HARTELL & EVERS,
647,8750,BESSEMER SEC CORP,
648,8760,BESSEMER TRUST CO,
649,8765,BESSEMER GROUP INC,
650,8800,BESSEMER TRUST CO/FLA,
651,8825,BETA MGMT LTD,
652,8835,BESSENT CAPITAL LLC,
653,8840,BETHLEHEM STEEL CORP,
654,9000,BEUTEL GOODMAN CAP LTD,
655,9010,BEUTEL GOODMAN & CO LTD,
656,9030,BEVERLY NATIONAL BANK,
657,9050,BIDWELL C M & ASSOCIATES LTD,
658,9070,BIRMINGHAM CAPITAL MGMT,
659,9080,BEVERLY NATIONAL BANK,
660,9100,BIRMINGHAM TRUST NATIONAL BK,
661,9125,BINGHAM LEGG ADVISORS LLC,
662,9200,BIRINYI ASSOCIATED INC,
663,9260,BISHOP STR CAPITAL MGMT CORP,
664,9360,BJURMAN BARRY & ASSOCIATES,
665,9380,BLACKHILL CAPITAL INC,
666,9385,BLACKROCK FINANCIAL MGMT INC,
667,9390,BLAIR C ASSET MGMT LP,
668,9395,BLAVIN & CO INC,
669,9400,BLAIR WM & CO INV MGMT,
670,9420,BLUESTEIN R H & CO,
671,9430,BLUESTONE CAPITAL LLC,
672,9440,BLUM CAPITAL PARTNERS LP,
673,9460,BOGLE INVT MGMT LP,
674,9480,BOATMANS BANCSHARES INC,
675,9490,EDWARD JONES TRUST CO,
676,9520,BODRI CAPITAL MGMT INC,
677,9540,BOESKY IVAN FCORP,
678,9550,BOESKY IVAN F + CO,
679,9580,BONNESS ENTERPRISES INC,
680,9600,ALBRIOND CAPITAL MGMT LLC,
681,9620,BOREK JO ANNE,
682,9650,BOSTON FAMILY OFFICE LLC,
683,9655,BOSTON FINANCIAL MGMT I,
684,9700,BOSTON PARTNERS ASSET MGMT,
685,9750,BOSTON CO INC,
686,9800,BOSTON SEC COUNSELLORS,
687,9820,BOTTI BROWN ASSET MGMT L,
688,9825,BOSTON SAFE ADVISORS INC,
689,9850,BOSTON ADVISOR INC,
690,9880,BOURGEON CAPITAL MGMT LLC,
691,9900,BOULEVARD BANK NA,
692,9910,BOURNE STENSTROM CAP MGMT INC,
693,9950,BOWEN HANES & CO INC,
694,9955,BOWMAN FINANCIAL MGMT CO,
695,9960,BOWLING PORTFOLIO MGMT,
696,9965,BOYD WATTERSON ASSET MANAGEMEN,
697,9975,BOYS ARNOLD & CO INC,
698,9980,BRADLEY FOSTER & SARGENT,
699,9985,BP AMOCO PLC,
700,9988,BRADFORD CAPITAL LLC,
701,9990,BRADFORD INV MGMT,
702,9995,BRAMWELL CAPITAL MGMT,
703,10000,BB&T ASSET MGMT INC,
704,10001,SAWGRASS ASSET MGMT LLC,
705,10003,BROADVIEW ADVISORS LLC,
706,10004,SECURITY NATIONAL TR CO,
707,10005,BR&ES INV PARTNERS LLC,
708,10006,ROYAL LONDON ASSET MGMT LTD,
709,10007,W & M PARTNERS,
710,10008,BR&YWINE MANAGERS LLC,
711,10010,BR&YWINE ASSET MGMT,
712,10011,BR&YWINE TRUST CO,
713,10013,BREECO MGMT LP,
714,10015,BREMER TRUST N A,
715,10017,HUDSON UNITED BANK,
716,10018,LABRANCHE & CO INC,
717,10019,NEW SALEM CAPITAL LLC,
718,10020,BREAU CAPITAL MGMT,
719,10021,INTREPID CAP MANAGMENT INCFL,
720,10022,FARMERS MERCHANTS INV INC,
721,10023,VOYAGEUR ASSET MGMT INC MA,
722,10024,ARGYROPLE CHRISTOPHER,
723,10025,BELMONT ASSET MGMT,
724,10026,BAKER BROTHERS ADVISOR,
725,10027,AVESTA CAP ADVISORS LLC,
726,10028,BOSTON RESEARCH & MGMT INC,
727,10029,BERNZOTT CAPITAL ADVISOR,
728,10030,BREEN DANIEL & CO,
729,10034,PERKINS INVT MGMT LLC,
730,10035,BRICOLEUR CAPITAL MGMT,
731,10036,SECOND BANCORP INC,
732,10038,FAN ASSET MGMT LLC,
733,10039,GEODE CAPITAL MGMT LLC,
734,10040,BRIDGES INV COUNSEL INC,
735,10041,BRIDGES INVT MGMT INC,
736,10042,BRIDGEWAY CAPITAL MGMT,
737,10045,BRINSON PARTNERS INC,
738,10047,EVERGREEN CAPITAL MGMT LLC,
739,10050,BRIGNOLI CURLEY&ROBERTS,
740,10052,NATCAN INVT MGMT INC,
741,10053,PRINCIPLED ASSET ADMINISTRATIO,
742,10054,SIGMA CAPITAL MGMT LLC,
743,10055,DUBUQUE BANK TR CO,
744,10056,OVERBROOK MGMT CORP,
745,10057,PIEDMONT INV ADVISORS LLC,
746,10058,TAI PARTNERS,
747,10059,AIC LTD,
748,10060,BRITANNIA ARROW HOLDINGS,
749,10061,ONTARIO TEACHERS' PENS PLAN BD,
750,10062,LONDON LIFE INS CO,
751,10063,GREAT WEST LIFE ASSURANCE CO,
752,10064,CALVERT ASSET MGMT CO INC,
753,10065,STARO ASSET MGMT LLC,
754,10066,PRINCIPLED CAP MGMT LLC,
755,10067,HARBOUR INVT MGMT LLC,
756,10068,EQUITYUITY INVT CORP,
757,10069,CHICKASAW CAPITAL MGMT LLC,
758,10070,BANCED CORP,
759,10071,WOOD & CO,
760,10072,CAPITAL CROSSOVER PARTNERS,
761,10073,FIRST NATIONAL WEALTH MGMT CO,
762,10074,SNOW CAPITAL MGMT,
763,10075,GRAYBILL BARTZ & ASSOC LTD,
764,10076,HORAN & ASSOC FINANCIAL ADVISO,
765,10077,PRIDEROCK MGMT LLC,
766,10078,JVL ADVISORS LLC,
767,10079,PILOT ROCK CAPITAL LLC,
768,10080,ALESCO ADVISOR LLC,
769,10081,SHENKMAN CAPITAL MGMT INC,
770,10082,CURIAN CAPITAL LLC,
771,10083,STBEDRIJFSTAKPENSIOENFONDS VO,
772,10084,SEI PRIVATE TRUST CO,
773,10085,MERRILL MERCHANTS BANK,
774,10086,STONEBROOK FUND MGMT,
775,10087,AN CULBERTSON & CO INC,
776,10088,MERCATOR ASSET MGMT LP,
777,10089,MATTHEWS INTL CAPITAL MGMT,
778,10090,BRITISH AIRWAYS PENSION,
779,10091,WEST COAST ASSET MGMT INC,
780,10092,TESUJI PARTNERS LLC,
781,10093,BINGHAM OSBORN&SCARBOROUGH LLC,
782,10094,PRIVATE TRUST CO NA,
783,10095,TOWLE & CO,
784,10096,TURNER INVT MGMT LLC,
785,10097,FOUNTAINHEAD PARTNERS LP,
786,10098,ARCHER CAP PARTNERS LLC,
787,10099,PERRITT CAPITAL MGMT INC,
788,10100,BRITISH INV TRUST PLC,
789,10101,RX CAPITAL MGMT LP,
790,10102,TOUCHSTONE INV MANAGERS LLC,
791,10103,JAVELIN OPPORTUNITIES LP,
792,10104,HAYS ADVISORY LLC,
793,10105,SECTORAL ASSET MGMT INC,
794,10106,CLOVIS CAPITAL MGMT,
795,10107,ASA BERMUDA LIMITED,
796,10108,BEHRMAN BROTHERS MGMT CORP,
797,10109,HIGHL& CAPITAL MGMT LP,
798,10110,WETHERBY ASSET MGMT INC,
799,10111,PEOPLES BANK NA,
800,10112,MAPLE SECURITIES USA INC,
801,10113,MENDON CAPITAL ADVISOR CORP,
802,10114,LONDON CO THE,
803,10115,MIDWEST INV MGMT LLC,
804,10116,OAK HILL PLATINUM PARTNERS,
805,10117,OLD POINT FINANCIAL CORP,
806,10118,MONTGOMERY INVT MGMT,
807,10120,ALYDAR PARTNERS LLC,
808,10121,DRAKE CAPITAL MGMT LLC,
809,10122,LUMINUS MGMT LLC,
810,10124,ARTIS CAPITAL MGMT LLC,
811,10127,GREAT WEST LIFE & ANNTY INS CO,
812,10128,TYKHE CAPITAL LLC,
813,10129,CHAPMAN CAPITAL LLC,
814,10130,CLOUGH CAPITAL PARTNERS,
815,10131,MARATHON ASSET MGMT INC,
816,10132,SPHERIC CAPITAL LLC,
817,10133,HEIRLOOM CAPITAL MGMT LP,
818,10134,WOLVERINE ASSET MGMT LLC,
819,10135,WINTRUST FINANCIAL CORP,
820,10136,AM INVT PARTNERS LLC,
821,10137,ROCKBAY CAPITAL MGMT LP,
822,10138,CENTURION ALLIANCE INC,
823,10139,VARDON CAPITAL MGMT LLC,
824,10140,DEROY&DEVEREAUX PRIV INV COUNS,
825,10141,WHITEFORD ADVISORS LLC,
826,10142,WATER ISL& CAPITAL LLC,
827,10143,PROVIDENT ADVISOR LLC,
828,10144,COPPER BEECH CAPITAL ADVISOR,
829,10145,SATOHA MGMT LP,
830,10146,POTOMAC CAPITAL MGMT LLC,
831,10147,SEASONS CAPITAL MGMT LLC,
832,10148,CADMUS CAPITAL MGMT LLC,
833,10149,ENDICOTT MGMT CO,
834,10150,CONTRARIAN CAP MGMT LLC,
835,10151,METROPOLITAN CAP ADVISORS INC,
836,10152,WHITEBOX ADVISORS LLC,
837,10153,TOWER BRIDGE ADVISOR,
838,10154,IRONBRIDGE CAP MGMT LLC,
839,10155,SILVER POINT CAPITAL FUND,
840,10156,REDSTONE INVT MGMT LP,
841,10157,HOVDE CAPITAL ADVISOR LLC,
842,10158,SDS CAPITAL GROUP SPC LTD,
843,10159,Z&ER CAPITAL MGMT,
844,10160,FIDUCIARY COUNSELLING INC,
845,10161,WHITNEY NATIONAL BANK,
846,10162,MENLO ADVISOR LLC,
847,10163,YCMNET ADVISOR,
848,10164,AW ASSET MGMT LLC,
849,10165,OPPENHEIMER ASSET MGMT,
850,10166,PIPER JAFFRAY & CO,
851,10167,TIGERSHARK PARTNERS LLC,
852,10168,CINCINNATI CASUALTY CO,
853,10169,CINCINNATI INSURANCE CO,
854,10170,CINCINNATI LIFE INS CO,
855,10171,CINCINNATI INDEMNITY CO,
856,10172,HMC INV LLC,
857,10173,FA ASSET MGMT INC,
858,10174,ARIENCE CAPITAL MGMT LP,
859,10175,GRANGE PARK CAPITAL MGMT,
860,10176,WEIK INVT SERVS,
861,10177,BRANT POINT INV MGMT LLC,
862,10178,HEALY CIRCLE CAP MGMT LLC,
863,10179,AMERICAN NATIONAL BANK,
864,10180,JACOB ASSET MGMT OF NY,
865,10181,CANTILLON CAPITAL MGMT LLC,
866,10182,TRIVIUM CAPITAL MGMT,
867,10183,HAVENS ADVISORS LLC,
868,10184,SOUTH TEXAS MONEY MGMT,
869,10185,STEEL PARTNERS II LP,
870,10186,ATLAS CAPITAL MGMT LP,
871,10187,ACCIPITER CAPITAL MGMT LLC,
872,10188,HIGH POINTE CAPITAL MGMT LLC,
873,10189,CRAIG DRILL CAPITAL CORP,
874,10190,KEANE CAPITAL MGMT INC,
875,10191,GOLDMAN CAPITAL MGMT INC,
876,10192,MCM MGMT LLC,
877,10193,CAVALRY ASSET MGMT LP,
878,10194,LEVEL GLOBAL INV LP,
879,10195,MILLER & JACOBS CAP LLC,
880,10196,SHUMWAY CAP PARTNERS LLC,
881,10197,MARIEL CAPITAL MGMT LLC,
882,10198,TRIAGE MGMT LLC,
883,10199,HOPLITE CAPITAL MGMT LLC,
884,10200,BRITISH PET PENS TR LTD,
885,10201,NEW GENERATION ADVISORS INC,
886,10202,SAM ADVISORS LLC,
887,10203,SILVERBACK ASSET MGMT,
888,10204,BANKERS TRUST CO CEDAR RAPIDS,
889,10205,MHR FUND MGMT LLC,
890,10206,AVENUE ADVISOR CAP MGMT LLC,
891,10208,HIGHSIDE CAPITAL MGMT LP,
892,10230,GENEVA INV MGMT CHICAGO LLC,
893,10231,CINCINNATI FINANCIAL CORP,
894,10232,EAST SIDE CAPITAL,
895,10233,PALMYRA CAP ADVISORS LLC,
896,10234,SUN VALLEY GOLD LLC,
897,10235,EVERTRUST ASSET MGMT,
898,10236,PASSPORT HOLDINGS LLC,
899,10237,CORSAIR CAPITAL MGMT INC,
900,10238,ALEX&RA INV MGMT LLC,
901,10239,MARCH GLOBAL ASSOCIATES LLC,
902,10240,HARVEST CAPITAL STRAT LLC,
903,10241,DIKER MGMT LLC,
904,10242,PRIVATE BANK & TRUST CO,
905,10243,PECONIC MGMT CO INC,
906,10244,REDDING K G,
907,10245,CONTINENTAL ADVISOR LLC,
908,10246,ITROS CAPITAL LLC,
909,10247,ROBOTTI & CO ADVISORS LLC,
910,10248,PACIFIC FINANCIAL GROUP,
911,10249,VERTICAL GROUP,
912,10250,F&C ASSET MGMT PLC,
913,10251,CHELSEA MGMT CO,
914,10252,FHS INVTS LLC,
915,10253,THAMES RIVER CAPITAL LLP,
916,10254,O'CONNELL INV SERVS INC,
917,10255,GARTMORE SA CAPITAL TRUST,
918,10256,NIERENBERG INVT MGMT CO,
919,10257,ALGERT COLDIRON INV LL,
920,10258,AKELA CAPITAL LLC,
921,10259,GEM VALUE PARTNERS LLC,
922,10260,CRITERION CAPITAL MGMT,
923,10261,CUTLER INVT COUNCIL,
924,10262,TRAXIS PARTNERS LLC,
925,10263,WESTERN INVT LLC,
926,10264,UNITED BANK VA,
927,10265,PROFIT INVT MGMT,
928,10266,TD SECURITIES INC,
929,10267,HARBOUR CAPITAL MGMT INC,
930,10270,FAIRFIELD GREENWICH GROUP,
931,10271,SELZ CAPITAL,
932,10272,REYNOLDS CAPITAL MGMT,
933,10273,IMPERIUM CAPITAL MGMT LLC,
934,10274,RMR ADVISOR INC,
935,10275,THOMPSON INVT MGMT CORP,
936,10276,FIRST AMER BK & TR TR DIVISION,
937,10277,ROCKLEDGE PARTNERS LLC,
938,10278,DUMONT& BLAKE INV ADVISORS LLC,
939,10279,NOESIS CAPITAL MGMT,
940,10280,HAWKINS CAPITAL LP,
941,10281,CRANE ASSET MGMT LLC,
942,10283,PATE CAPITAL PARTNERS LP,
943,10285,GAMMA CAPITAL ADVISORS LLC,
944,10286,QUANTUM CAPITAL MGMT,
945,10287,CAPITAL INV COUNSEL DENVER,
946,10289,WINSLOW ASSET MGMT,
947,10290,EMER MRKT INV CORP,
948,10292,BASSO ASSET MGMT LP,
949,10293,BASSO CAPITAL MGMT LP,
950,10294,PGGM VERMOGENSBEHEER BV,
951,10295,PINE RIVER CAP MGMT LLC,
952,10296,FIFTH THIRD ASSET MGMTCINCINN,
953,10297,FIFTH THIRD BANK MI,
954,10299,LINGOLD ASSOCIATES,
955,10300,HUMMER WAYNE TRUST CO,
956,10301,ASPEN ADVISORS LLC,
957,10302,BEECHER INV INC,
958,10303,WATERSTONE ASSET MGMT LLC,
959,10304,EXIS CAPITAL MGMT INC,
960,10305,STRATEGIC POINT INV ADVISORS L,
961,10306,WEAVER CBARKSDALE& ASSOC INC,
962,10307,FMA ADVISORY INC,
963,10308,SKYL&S CAPITAL LLC,
964,10312,LETKO BROSSEAU & ASSOC INC,
965,10313,VERITABLE LP,
966,10316,JHC CAPITAL MGMT LLC,
967,10317,LARSON MICHAEL,
968,10323,PROMETHEAN INVT GRP LLC,
969,10338,CHARLES E MATHER III,
970,10339,GENESIS FUND MANAGERS LLP,
971,10341,NEWALLIANCE BANK,
972,10342,CARRET CAPITAL LLC,
973,10343,RIKOON CARRET INVT ADVIS,
974,10344,KOVITZ INVT GROUP LLC,
975,10345,SPRINGFIELD TRUST CO,
976,10346,CONTEXT CAPITAL MGMT LLC,
977,10347,EPOCH INV PARTNERS INC,
978,10348,BOULDER INV ADVISORS LLC,
979,10349,PUNCH & ASSOC INV MGMT INC,
980,10350,GR&FIELD & DODD LLC,
981,10351,LAFFER INVTS INC,
982,10352,TYEE CAPITAL MGMT INC,
983,10353,MEADOWBROOK INV ADVISORS LLC,
984,10354,GLG PARTNERS LLC,
985,10355,CAROLINA FIRST BANK,
986,10356,BC ZIEGLER & CO,
987,10361,POLYGON INVT PARTNERS,
988,10362,SECURITY CAP RES & MGMT INC,
989,10368,MCCARTHY CAPITAL CORP,
990,10369,SYMETRA ASSET MGMT,
991,10370,PRS INTL INV ADVISORY SERVS,
992,10371,AXIOM ASSET MGMT LLC,
993,10372,STARK ASIA MGMT LLC,
994,10373,STARK JAPAN MGMT LLC,
995,10374,STARK OFFSHORE MGMT LLC,
996,10375,STARK ONSHORE MGMT LLC,
997,10376,NEW STAR ASSET MGMT LIMITED,
998,10377,EAGLEROCK CAPITAL MGMT,
999,10378,HERSHEY FOODS CORP MAST RET TR,
