,mgrno,mgrname,zipcode
143,4445,ARDEN GROUP INC,
144,4450,ARDSLEY ADVISORY PARTNERS,
145,4480,AREA TRUST CO,
146,4500,ARGONAUT GROUP INC,
147,4520,ARGENT CAPITAL MGMT LLC,
148,4650,ARGUS INVT MGMT,
149,4675,ARGUS INV COUNSEL,
150,4690,ARIEL CAPITAL MGMT INC,
151,4693,ARISTEIA CAPITAL LLC,
152,4695,ARK ASSET MGMT CO,
153,4700,ARKWRIGHT MUTUAL INS CO,
154,4703,ARMSTRONG HENRY H ASSOCIATES,
155,4705,ARMSTRONG SHAW ASSOC INC,
156,4710,ARNHOLD & S BLEICHROEDER,
157,4713,ARNOLD INV COUNSEL INC,
158,4714,ARONSON & FOGLER,
159,4715,ASHFIELD & CO INC,
160,4716,ASHFORD CAPITAL MGMT IN,
161,4717,ARTHUR KARAFIN INV ADVISORS IN,
162,4718,ARVEST ASSET MGMT,
163,4719,ARTISAN PARTNERS L P,
164,4720,ASHL& MGMT INC,
165,4725,ASSET ADVISOR CORP,
166,4726,ASSET MGMT INC,
167,4728,ASSET MGMT PARTNERS INC,
168,4730,ASSOCIATED BANC CORP,
169,4740,ASSOCIATED CAPITAL INVS,
170,4745,ASTER INV MGMT INC,
171,4750,ASSOCIATED CAP INV EAST,
172,4760,ASTROP ADVISORY CORP,
173,4770,ASTROP FUNDS ADVISOR INC,
174,4800,ASTER INV MGMT CO INC,
175,4810,ATALANTA CAPITAL CORP,
176,4850,ATALANTA SOSNOFF CAPITAL LLC,
177,4860,ATALANTA/SOSNOFF MGMT,
178,4900,ATLANTA CAP MGMT CO,
179,4910,ATLANTIC CAP MGMT LLC,
180,4950,ATLANTIC INVT MGMT INC,
181,5000,ATLANTIC CAP & RES INC,
182,5070,ATLANTIC NATIONAL BANK/FLA,
183,5080,ATLANTIC HOLDINGS INC,
184,5145,ATLANTIC RICHFIELD,
185,5148,ATLAS ASSET MGMT,
186,5150,ATTICUS CAPITAL LLC,
187,5155,ATTRACTOR INV MGMT INC,
188,5160,ATWOOD & PALMER INC,
189,5165,AUGUST CAPITAL MGMT LLC,
190,5170,AUGUSTA MGMT LLC,
191,5172,AUGUST CAPITAL MGMT II,
192,5180,AUCHINCLOSS & LAWRENCE,
193,5190,AUSTIN & CALVERT INC,
194,5192,AV PARTNERS IV LP,
195,5193,AV PARTNERS VI LP,
196,5194,AV PARTNERS V LP,
197,5195,AVATAR ASSOC INV COUNSL,
198,5200,AVATAR ASSOC INV COUNSEL,
199,5220,AUXIER ASSET MGMT LLC,
200,5300,AVENIR CORP,
201,5325,AVERY CAPITAL MGMT LLC,
202,5350,AWAD ASSET MGMT INC,
203,5400,AXE CORE INV INC,
204,5435,BAKER INVT GROUP LLC,
205,5460,AXE E W & CO INC,
206,5500,AYCO ASSET MGMT,
207,5570,AYRSHIRE ASSOCIATES INC,
208,5590,BB BIOTECH AG,
209,5600,BB MEDTECH AG,
210,5700,BBT FUND LP,
211,5720,BEA ASSOCIATES,
212,5740,BEM MGMT INC,
213,5750,BHW PARTNERS LTD,
214,5770,BKP CAPITAL MGMT,
215,5775,BIL TRAINER WORTHAM INC,
216,5800,BMI CAPITAL CORP,
217,5810,BNP PARIBAS ARBITRAGE SNC,
218,5820,BNP/COOPER NEFF ADVISOR INC,
219,5825,BTR CAPITAL MGMT,
220,5835,BIOTECH VALUE FUND INC,
221,5850,BABSON CAPITAL MGMT LLC,
222,5860,BABSON UNITED INV ADVS,
223,5870,BACK BAY ADVISOR L P,
224,5880,BADGLEY PHELPS & BELL,
225,5885,BAHL & GAYNOR INC,
226,5900,BACHE HALSEY STUART,
227,5904,BAILLIE GIFFORD & CO,
228,5905,BAILLIE GIFFORD OVERSEAS,
229,5910,BAINCO INTL INV,
230,5920,BAIRD INVT MGMT,
231,5925,BAIRD R W 20/20 MGD PORT,
232,5930,BAKER BOYER INV MGMT & TR SERV,
233,5940,BAKER   FENTRESS & CO,
234,5942,BALCHHARDYSCHEINMAN,
235,5943,BALDWIN BROTHERS INC,
236,5945,BALLENTINE CAP MGMT INC,
237,5946,BCO SANT&ER CENTRAL HISPANO,
238,5950,BALLOU FREDERICK D,
239,5955,BANC ONE CORP,
240,5960,BANCOHIO NATIONAL B/T DIV,
241,5964,NORTHSTAR CAPITAL MGMT INC,
242,5965,WILLIS INVT MGMT CO,
243,5966,BUTLER WICK ASSET MGMT,
244,5967,FAMILY CAPITAL FIDUCIARY LLC,
245,5968,ANALYTIC ASSET MGMT INC,
246,5969,CAPITAL FORMATION GROUP INC,
247,5970,BANCOKLAHOMA TRUST CO,
248,5975,BANCOKLAHOMA TR/OKLA CTY,
249,5977,INVESCO ASSET MGMT LIMITED,
250,5978,INVESCO GLOBAL ASSET MGMT NA I,
251,5980,BANKAMERICA CORP,
252,5990,BANK JULIUS BAER & CO LT,
253,6000,BANK OF BOSTON CORP,
